1p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['contactap2']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['delight_eve']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['wartakotalive']', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#2019jokowikyaimaruf']', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#senengnyajaja1 #snyjaja1 #foodies1 #jktfoo1 #jakartafoo1 #indonesi1 #foodne1 #infokuline1 #wisatakuliner']', neutral
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['ringdimdong']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['nayakaniaa']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 6, 0, 0, 0, 0, 0, '[]', '[]', '['chainvillage']', '['#sjy']', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['hananyusron']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['nouval']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#citilink']', neutral
0, 0, 3, 0, 0, -1, 0, 0, '[]', '[]', '['susipudjiastut1 erickthohir']', '['#garudaindonesia']', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['sonopravina']', '[]', positive
0, 0, 4, 0, 0, 0, 0, 0, '[]', '[]', '['gunturraharj1 agussaptono']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['trickytricks_']', '[]', positive
