1p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 0, 4, 0, 0, -1, 0, 0, '[]', '[]', '['hardiahmad']', '[]', positive
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '['gazza_arrasyid']', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 4, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', positive
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['chaus453']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['atragun1 citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['ndfr_']', '[]', negative
0, 0, 5, 0, 0, 0, 0, 0, '[]', '[]', '['sereyordan76n']', '[]', positive
0, 0, 1, 0, 0, -1, 0, 0, '[]', '[]', '['citilink']', '['#citilinkxfourtwnt1 #citilinkquiz']', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#nasional_umum']', neutral
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['rizky41249872']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#sahabatap1']', positive
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#berita']', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['nanitoo71 nusatri1 airasia_ind1 travelok1 tike1 pegipeg1 indonesiagarud1 citilin1 sriwijayaair']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '['#shameonyougaruda']', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['nadhxra1 helahhidu1 razaisyam']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['herdienp']', '[]', neutral
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['budiwarsaw1 hareehare1 indonesiagaruda']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', positive
